"id";"created";"nome"
159;"2010-12-28 00:00:01";"MALACACHETA "
160;"2010-12-28 00:00:01";"MANGA "
161;"2010-12-28 00:00:01";"MANHUAÇU "
162;"2010-12-28 00:00:01";"MANHUMIRIM "
163;"2010-12-28 00:00:01";"MANTENA "
164;"2010-12-28 00:00:01";"MAR DE ESPANHA "
165;"2010-12-28 00:00:01";"MARIANA "
166;"2010-12-28 00:00:01";"MARTINHO CAMPOS "
167;"2010-12-28 00:00:01";"MATEUS LEME "
168;"2010-12-28 00:00:01";"MATIAS BARBOSA "
169;"2010-12-28 00:00:01";"MATOZINHOS "
170;"2010-12-28 00:00:01";"MEDINA "
171;"2010-12-28 00:00:01";"MERCÊS "
172;"2010-12-28 00:00:01";"MESQUITA "
173;"2010-12-28 00:00:01";"MINAS NOVAS "
174;"2010-12-28 00:00:01";"MIRADOURO "
175;"2010-12-28 00:00:01";"MIRAÍ "
176;"2010-12-28 00:00:01";"MONTALVÂNIA "
177;"2010-12-28 00:00:01";"MONTE ALEGRE DE MINAS "
178;"2010-12-28 00:00:01";"MONTE AZUL "
179;"2010-12-28 00:00:01";"MONTE BELO "
180;"2010-12-28 00:00:01";"MONTE CARMELO "
181;"2010-12-28 00:00:01";"MONTE SANTO DE MINAS "
182;"2010-12-28 00:00:01";"MONTE SIÃO "
183;"2010-12-28 00:00:01";"MONTES CLAROS "
184;"2010-12-28 00:00:01";"MORADA NOVA DE MINAS "
185;"2010-12-28 00:00:01";"MURIAÉ "
186;"2010-12-28 00:00:01";"MUTUM "
187;"2010-12-28 00:00:01";"MUZAMBINHO "
188;"2010-12-28 00:00:01";"NANUQUE "
189;"2010-12-28 00:00:01";"NATÉRCIA "
190;"2010-12-28 00:00:01";"NEPOMUCENO "
191;"2010-12-28 00:00:01";"NOVA ERA "
192;"2010-12-28 00:00:01";"NOVA LIMA "
193;"2010-12-28 00:00:01";"NOVA PONTE "
194;"2010-12-28 00:00:01";"NOVA RESENDE "
195;"2010-12-28 00:00:01";"NOVA SERRANA "
196;"2010-12-28 00:00:01";"NOVO CRUZEIRO "
197;"2010-12-28 00:00:01";"OLIVEIRA "
198;"2010-12-28 00:00:01";"OURO BRANCO "
199;"2010-12-28 00:00:01";"OURO FINO "
200;"2010-12-28 00:00:01";"OURO PRETO "
201;"2010-12-28 00:00:01";"PALMA "
202;"2010-12-28 00:00:01";"PARÁ DE MINAS "
203;"2010-12-28 00:00:01";"PARACATU "
204;"2010-12-28 00:00:01";"PARAGUAÇU "
205;"2010-12-28 00:00:01";"PARAISÓPOLIS "
206;"2010-12-28 00:00:01";"PARAOPEBA "
207;"2010-12-28 00:00:01";"PASSA-QUATRO "
208;"2010-12-28 00:00:01";"PASSA-TEMPO "
209;"2010-12-28 00:00:01";"PASSOS "
210;"2010-12-28 00:00:01";"PATOS DE MINAS "
211;"2010-12-28 00:00:01";"PATROCÍNIO "
212;"2010-12-28 00:00:01";"PEÇANHA "
213;"2010-12-28 00:00:01";"PEDRA AZUL "
214;"2010-12-28 00:00:01";"PEDRALVA "
215;"2010-12-28 00:00:01";"PEDRO LEOPOLDO "
216;"2010-12-28 00:00:01";"PERDIZES "
217;"2010-12-28 00:00:01";"PERDÕES "
218;"2010-12-28 00:00:01";"PIRANGA "
219;"2010-12-28 00:00:01";"PIRAPETINGA "
220;"2010-12-28 00:00:01";"PIRAPORA "
221;"2010-12-28 00:00:01";"PITANGUI "
222;"2010-12-28 00:00:01";"PIUMHI "
223;"2010-12-28 00:00:01";"POÇO FUNDO "
224;"2010-12-28 00:00:01";"POÇOS DE CALDAS "
225;"2010-12-28 00:00:01";"POMPÉU "
226;"2010-12-28 00:00:01";"PONTE NOVA "
227;"2010-12-28 00:00:01";"PORTEIRINHA "
228;"2010-12-28 00:00:01";"POUSO ALEGRE "
